Title,Sol#,Department/Ind.Agency,Sub-Tier,Office,PostedDate,Type,ArchiveDate,SetASideCode,ResponseDeadLine,NaicsCode,PopState,PopZip,PopCountry
"Provide Prime Power, Soto Cano Air Base (AB), Honduras",W9127824R0110,DEPT OF DEFENSE,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,55:05.9,Presolicitation,9/30/2025,,,221112,,,HND
"Landline Telephone services for the U.S. Embassy Athens, Greece.",19GR10-25-Q-0007,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,41:54.7,Solicitation,12/31/2024,,2024-11-25T12:00:00+02:00,517112,GR-I,,GRC
Landscape and ground maintenance services,19SA4025R0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE JEDDAH,45:31.8,Presolicitation,2/14/2025,,2025-01-30T17:00:00+03:00,56173,SA-02,21411,SAU
Backup DIA Internet Services,19SA4025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE JEDDAH,44:43.8,Solicitation,12/25/2024,,2024-11-20T17:00:00+03:00,517810,SA-02,23616,SAU
"$245M Multiple Award Task Order Contracts (MATOC), Sustainment, Restoration, and Modernization (SRM) Requirements, Okinawa, Japan",W912HV24R0004,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,39:45.7,Solicitation,9/27/2025,,2024-12-03T14:00:00+09:00,236220,,,JPN
INTEGRATED SOLID WASTE MANAGEMENT CONTRACT AT YOKOTA AIR BASE AND GEOGRAPHICALLY SEPARATED UNITS,FA520925R0001,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5209  374 CONS PK,50:36.6,Solicitation,12/24/2024,,2024-12-09T14:00:00+09:00,562219,,96328-5228,JPN
Supply and Delivery of Electrical Spare Parts for the U.S. Embassy Windhoek,19WA8024Q0055,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,17:44.7,Solicitation,2/15/2025,,2024-11-15T17:00:00+01:00,449210,NA-KH,,NAM
Supply and Delivery of HVAC Spare Parts for the U.S. Embassy Windhoek,19WA8024Q0053,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,17:23.5,Solicitation,2/15/2025,,2024-11-15T17:00:00+01:00,423730,NA-KH,,NAM
Supply and Delivery of BAS Spare Parts for the U.S. Embassy Windhoek Windhoek,19WA8024Q0058,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,17:04.6,Solicitation,2/15/2025,,2024-11-15T17:00:00+01:00,44418,NA-KH,,NAM
Improve Military Family Housing Projects (PAIP) 8B,W912HV25B0001,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,01:24.6,Presolicitation,12/15/2024,,2024-11-30T14:00:00+09:00,236118,JP-13,,JPN
Supply and Delivery of Fuel for November 2024,19RP3825Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,26:05.9,Solicitation,5/30/2025,,2024-11-19T15:00:00+08:00,424720,,,PHL
"Notice of Opportunity (NOO) for Energy Savings Performance Contract (ESPC) - Royal Air Force Mildenhall, United Kingdom",SP060425R0400,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,34:32.4,Solicitation,12-07-24,,2024-11-22T15:00:00-05:00,541330,GB-SFK,,GBR
"FA8604 Storage Aid System, Aviano AB, Italy Buildings 1029 and 933 MMHS",FA860425RB001,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA8604  AFLCMC PZI,50:17.8,Combined Synopsis/Solicitation,05-12-25,SBA,2024-11-12T15:00:00-05:00,333922,,09604-0001,ITA
MSG Cook / Food Services,19GB5024Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LIBREVILLE,11:48.1,Award Notice,11-06-25,,,722320,GA-1,4000,GAB
FY2025 Projections,W912HV-25-Z-0001,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,04:30.1,Special Notice,10/15/2025,,2025-09-30T23:59:00+09:00,,,,JPN
"Solid Waste Management Service, USAG-Humphreys",W91QVN25R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,0411 AQ HQ     CONTRACT AUG,32:52.8,Combined Synopsis/Solicitation,9/30/2025,,2024-12-04T13:00:00+09:00,562111,KR-41,,KOR
"Provide Secondary Containment at JP-8 Rail Offload Yokota Air Base, Japan",W912HV25R0003,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,24:12.7,Presolicitation,01-08-25,,2024-12-24T14:00:00+09:00,237120,,,JPN
Travel Management Contract,19KV4225Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PRISTINA,58:12.6,Presolicitation,12/31/2024,,2024-12-16T03:00:00+01:00,56151,XK-26,10000,XKS
N33191-24-R-0031 Design-Build (D-B) Construct Maintenance Facility and Technical Training Center in Djibouti,N3319124R0031,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,57:29.4,Solicitation,11-04-25,,2024-11-20T14:00:00+01:00,236210,,,DJI
N33191-24-R-0031 Design-Build (D-B) Construct Maintenance Facility and Technical Training Center in Djibouti,N3319124R0031,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,53:55.9,Solicitation,11-04-25,,2024-11-20T14:00:00+01:00,236210,,,DJI
"USAID “Support for Trade, Recovery Opportunities, and National Growth in Ukraine (STRONG UA) Activity”",SOL-72012124R00020,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/UKRAINE,24:46.0,Solicitation,1/21/2025,,2025-01-06T16:00:00+02:00,541611,UA-30,,UKR
Painting Services Blanket Purchase Agreement,19BK8025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SARAJEVO,01:46.7,Solicitation,12/30/2025,,2024-12-30T11:00:00+01:00,238320,,71000,BIH
Supplemental Health Insurance services to employees and CSR Annuitants of the Government of the United States of America in Greece and their eligible dependents.,19GR10-24-R-0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,39:55.5,Solicitation,12/31/2024,,2024-11-14T08:00:00-05:00,524114,,,GRC
New Family Planning Activity Design,72026325RFI00004,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/EGYPT,56:40.5,Presolicitation,12/27/2024,,2024-12-12T15:00:00+02:00,,,,EGY
"Self-Supporting Roofs and Structural components installation, Corinto, Honduras",19AQMM25R0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,14:00.2,Solicitation,12/21/2024,,2024-12-06T12:00:00-05:00,236220,,,HND
"Zambia - Feasibility Study, Detailed Engineering Design and Environmental and Social Impact Assessment for the Improvement of Prioritized Roads",,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,14:33.8,Special Notice,01-02-25,,2024-12-18T16:00:00+02:00,5416,,,ZMB
Pre-Solicitation Notification: Mission Brazil Areawide CFE Electric Power Support (Brazil-ACEPS),Brazil-ACEPS,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",CONSULATE GENERAL SAO PAULO,51:22.8,Presolicitation,12/15/2024,,2024-09-19T16:30:00-04:00,221122,,,BRA
Pre-Solicitation Notification: Mission Brazil Areawide CFE Electric Power Support (Brazil-ACEPS),Brazil-ACEPS,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",CONSULATE GENERAL SAO PAULO,50:12.0,Presolicitation,12/15/2024,,2024-09-19T16:30:00-04:00,221122,,,BRA
NATO LPG fuel coupons,SP7000-25-RFI-1003,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,30:40.0,Sources Sought,04-01-25,,2024-12-16T15:00:00-05:00,323111,,,ITA
Clindamycin Phosphate - Benzoyl Peroxide Gel,SPE2D223R0012,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,28:03.9,Award Notice,11/30/2029,,,325412,IL-JM,8050315,ISR
CCTV Maintenance,FA558725Q0075,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5587  48 CONS,02:53.9,Combined Synopsis/Solicitation,12-07-24,,2024-11-22T12:30:00+00:00,561621,,,GBR
"Regional Monitoring Center Remodeling, San Jose",19AQMM25R0005,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,40:14.1,Presolicitation,12/28/2024,,2024-12-13T12:00:00-05:00,236220,,,CRI
"Siquirres Community Center Renovation, Costa Rica",19AQMM25R0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,10:36.7,Presolicitation,12/28/2024,,2024-12-13T12:00:00-05:00,236220,,,CRI
"Health Insurance for Locally Employed Staff, U.S. Embassy Georgetown, Guyana",19GE5025R0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - RPSO FRANKFURT,54:55.4,Presolicitation,1/31/2025,,,524114,,,GUY
"USAID “Support for Trade, Recovery Opportunities, and National Growth in Ukraine (STRONG UA) Activity”",SOL-72012124R00020,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/UKRAINE,35:46.4,Solicitation,12/18/2024,,2024-12-03T16:00:00+02:00,541611,UA-30,,UKR
"Questions and Answers for TSIO Services for the U.S. Mission, Türkiye",19TU1525Q3000QA,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ANKARA,32:52.0,Solicitation,12/31/2024,,2024-11-08T16:00:00+03:00,541612,,6530,TUR
"Provision of Cellphone Services for US Embassy, Windhoek",19WA8025Q0011,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,41:21.3,Solicitation,2/28/2025,,2024-11-29T17:00:00+01:00,517112,NA-KH,,NAM
Guatemala - FAC-CMR-PNC-Waste Management Services,19GT5025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S.EMBASSY GUATEMALA CITY,58:03.5,Solicitation,12-11-24,,2024-11-26T17:00:00-05:00,5621,GT-GU,1016,GTM
Tactical Weapons Training Facility Services in Israel on behalf of the United States Embassy in Jerusalem Israel,191S7025D0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY TEL AVIV,34:43.7,Award Notice,12/31/2024,,,713990,,,ISR
Pre-Solicitation Notification: Mission Brazil Areawide CFE Electric Power Support (Brazil-ACEPS),Brazil-ACEPS,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",CONSULATE GENERAL SAO PAULO,05:01.5,Presolicitation,12/15/2024,,2024-09-19T16:30:00-04:00,221122,,,BRA
GMC Health Insurance,19TH2025R0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",US EMBASSY BANGKOK,20:27.6,Presolicitation,12/31/2025,,,524114,,,THA
DLA Disposition Services Hazardous Waste Removal Spain,SP450024R0022,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISPOSTION SERVICE - EBS,58:47.5,Combined Synopsis/Solicitation,12-12-24,,2024-11-27T15:00:00-05:00,562211,ES-CA,,ESP
Colombia Anti Money Laundering Campaign,191NLE25R0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,14:19.8,Solicitation,12/19/2024,,2024-11-19T12:00:00-05:00,541810,,,COL
Trophy Security Guard Services,W564KV25RA003,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,26:03.9,Solicitation,2/28/2025,,2024-11-22T11:00:00-05:00,561612,DE-RP,,DEU
Trophy Security Guard Services,W564KV25RA003,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,30:05.0,Solicitation,2/28/2025,,2024-11-22T11:00:00-05:00,561612,DE-RP,,DEU
GUATEMALA - PHOTOCOPIER SERVICES AND EQUIPMENT,19GT5025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S.EMBASSY GUATEMALA CITY,37:03.6,Presolicitation,3/31/2025,,2024-11-25T17:00:00-06:00,532420,,1016,GTM
HMO Residential Alarm installation and monitoring services,19MX5724Q0009,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE HERMOSILLO,36:04.7,Solicitation,01-12-25,,2024-11-12T10:00:00-08:00,561621,MX-SON,83204,MEX
"Waterproofing repair on a balcony of a USG building located in Strasbourg, France",19FR6324Q0053,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,12:19.9,Solicitation,1/29/2025,,2025-01-14T18:00:00+01:00,238990,,,FRA
Masonry work in a U.S Government Property located in Strasbourg,19FR6324Q0052,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,09:51.7,Solicitation,1/29/2025,,2025-01-14T18:00:00+01:00,238140,,,FRA
"FA8604 Storage Aid System, Aviano AB, Italy Buildings 1029 and 933 MMHS",FA860425RB001,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA8604  AFLCMC PZI,08:51.6,Combined Synopsis/Solicitation,05-12-25,SBA,2024-11-12T15:00:00-05:00,333922,,09604-0001,ITA
PM LAV System Technical Support Solicitation,W912CH-24-R-0152S,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC- DTA,29:27.7,Solicitation,12/24/2024,,2024-12-09T10:00:00-05:00,541330,CA-ON,,CAN
Janitorial Services,19TC1025R0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S EMBASSY ABU DHABI,00:32.5,Solicitation,12-10-24,,2024-11-25T16:00:00+04:00,561720,,,ARE
Supply and Delivery of Fuel for November 2024,19RP3825Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,41:43.6,Presolicitation,04-10-25,,,424720,,,PHL
Republic of Italy - Laboratory Testing Services,SPE60324R0511,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,47:13.6,Solicitation,10/28/2025,,2024-10-28T11:00:00-04:00,541380,,,ITA
Procurement of FCX Unit and Spare Parts,W912ER25R0011,DEPT OF DEFENSE,DEPT OF THE ARMY,W31R ENDIS MIDDLE EAST,13:17.7,Solicitation,12/25/2024,SBA,2024-11-25T16:00:00-05:00,335312,,,EGY
"Grounds Maintenance Services at Airfields Katterbach & Illesheim, USAG Ansbach",W912PB25R3004,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,29:27.1,Presolicitation,1/17/2025,,2024-12-13T10:00:00+01:00,561730,DE-BY,91522,DEU
Supplemental Health Insurance services to employees and CSR Annuitants of the Government of the United States of America in Greece and their eligible dependents.,19GR10-24-R-0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,57:16.9,Solicitation,12/31/2024,,2024-11-14T08:00:00-05:00,524114,,,GRC
Improve Military Family Housing Projects (PAIP) 8B,W912HV25B0001,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST JAPAN,06:15.5,Presolicitation,12/15/2024,,2024-11-30T14:00:00+09:00,236220,JP-13,,JPN
Republic of Italy - Laboratory Testing Services,SPE60324R0511,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,12:37.8,Solicitation,10/25/2025,,2024-10-25T15:00:00-04:00,541380,,,ITA
US EMBASSY GUATEMALA MAIN INTERNET CIRCUIT,19GT5025R0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S.EMBASSY GUATEMALA CITY,31:32.7,Combined Synopsis/Solicitation,12/24/2024,,2024-12-09T17:00:00-06:00,517111,GT-GU,,GTM
"Notice of Opportunity (NOO) for Energy Savings Performance Contract (ESPC) - Royal Air Force Mildenhall, United Kingdom",SP060425R0400,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,22:55.7,Solicitation,12-07-24,,2024-11-22T15:00:00-05:00,541330,GB-SFK,,GBR
Protective Education for Girls in Mali,72068824R00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/MALI,30:03.8,Presolicitation,7/30/2025,,2024-11-25T17:00:00-05:00,611710,ML-BKO,,MLI
19SG2024Q0025__GARDENING AND LANDSCAPING SERVICE FOR US EMBASSY DAKAR,19SG2024Q0025,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY DAKAR,41:50.2,Solicitation,12/31/2024,,2024-07-09T00:00:00-04:00,561730,,,SEN
19SG2024Q0031 Janitorial services for U.S Embassy Dakar,19SG2024Q0031,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY DAKAR,39:58.9,Solicitation,12/31/2025,8A,2024-10-31T00:00:00-04:00,561720,SN-DK,,SEN
"EUR - Landline Telephone services for the U.S. Embassy Athens, Greece.",19GR10-25-Q-0007,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,36:15.9,Presolicitation,12/31/2024,,,517112,GR-I,,GRC
"Self-Supporting Roofs and Structural components installation, Corinto, Honduras",19AQMM25R0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,35:42.2,Solicitation,12/21/2024,,2024-12-06T12:00:00-05:00,236220,,,HND
Scheduled preventive maintenance services for standby generator units in the US Embassy Singapore.,19SN1025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SINGAPORE,52:57.2,Presolicitation,3/31/2025,,,335312,SG-01,,SGP
"Scheduled inspection, cleaning, and disinfection of water storage tank and water analysis of a potable water system at U.S. Embassy Singapore.",19SN1025Q0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SINGAPORE,52:35.5,Presolicitation,3/31/2025,,,221310,SG-01,,SGP
Water Treatment Maintenance Services,191T7025R0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ROME,49:40.0,Presolicitation,10/20/2025,,2024-12-09T12:00:00+01:00,221310,,,ITA
Request for Proposal (RFP) Number 72027824R00002 for the USAID/Jordan Amman Urban Resilience Activity (AURA),72027824R00002,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID M/OAA,06:27.0,Solicitation,12/22/2024,,2024-12-07T08:00:00+03:00,541611,JO-AM,,JOR
Turkey PC&S 1.8K Synopsis/Solicitation,SPE60524R0216,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,06:58.8,Combined Synopsis/Solicitation,03-01-25,,2024-11-18T15:00:00-05:00,324110,TR-06,99999,TUR
NIAID CLINICAL PRODUCTS CENTER (CPC),RFP-NIAID-75N93024R00018,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,NATIONAL INSTITUTES OF HEALTH NIAID,07:30.7,Solicitation,02-01-25,SBA,2025-01-17T15:00:00-05:00,541715,N/A,,AX1
"RFQ for TSIO Services for the U.S. Mission, Türkiye",19TU1525Q3000,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ANKARA,24:12.7,Solicitation,12/31/2024,,2024-11-08T16:00:00+03:00,541612,,6530,TUR
EUR ATHENS-DT-Diplomatic Mail Logistic Services,19GR1025Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,10/18/2024 4:38,Presolicitation,12/31/2024,,2024-11-25T00:00:00+02:00,541614,GR-I,10160,GRC
Supply and Delivery of Fuel for November 2024,19RP3825Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,53:04.6,Presolicitation,04-10-25,,,424720,,,PHL
"Custodial and Grounds Service for Naval Commands Misawa and FLCY Hachinohe, Japan",N4008425Q7003,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM FAR EAST,07:02.4,Combined Synopsis/Solicitation,12-05-24,,2024-11-20T10:00:00+09:00,561720,JP-02,,JPN
Janitorial Services,19TH2024Q0005,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",US EMBASSY BANGKOK,07:07.8,Solicitation,8/31/2025,,2024-11-12T16:00:00+07:00,561720,,,THA
"Custodial and Grounds Service for Naval Commands Misawa and FLCY Hachinohe, Japan",N4008425Q7003,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM FAR EAST,55:10.2,Combined Synopsis/Solicitation,12-05-24,,2024-11-20T10:00:00+09:00,561720,JP-02,,JPN
"Custodial and Grounds Service for Naval Commands Misawa and FLCY Hachinohe, Japan",N4008425Q7003,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM FAR EAST,53:52.2,Combined Synopsis/Solicitation,12-05-24,,2024-11-20T10:00:00+09:00,561720,JP-02,,JPN
"FY22 MCAF PROJECT P180400, AIRCRAFT MAINTENANCE SUPPORT FACILITY, ROYAL AUSTRALIAN AIR FORCE BASE TINDAL, AUSTRALIA",N6274225R1311,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM PACIFIC,53:42.2,Presolicitation,1/29/2025,,2025-01-14T14:00:00-10:00,236220,,,AUS
Turkey PC&S 1.8K Synopsis/Solicitation,SPE60524R0216,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,29:56.9,Combined Synopsis/Solicitation,03-01-25,,2024-11-18T15:00:00-05:00,324110,TR-06,99999,TUR
Land Mobile Radio (LMR) Maintenance Services,W912SR25R0001,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,03:13.2,Solicitation,3/31/2025,,2024-10-31T15:00:00+01:00,811210,,,XKS
Railroad Tracks Inspection,W912PB25Q3002,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,59:10.7,Presolicitation,11/23/2025,,2025-11-08T11:00:00+01:00,541350,DE-BY,92676,DEU
"19PK33-25-R-7027 -- Life Insurance Services for Locally Employed Staff (LES) at U.S. Mission, Pakistan",19PK33-25-R-7027,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ISLAMABAD,08:14.2,Solicitation,01-04-25,,2024-12-20T23:59:00+05:00,524113,,,PAK
"19PK33-25-R-7027 -- Life Insurance Services for Locally Employed Staff (LES) at U.S. Mission, Pakistan",19PK33-25-R-7027,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY ISLAMABAD,53:05.6,Solicitation,01-04-25,,2024-12-20T23:59:00+05:00,524113,,,PAK
Landscaping and Gardening services,19NL80-25-Q-0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S EMBASSY THE HAGUE,06:45.8,Presolicitation,8/31/2025,,2024-11-30T00:00:00+01:00,561730,NL-ZH,2244 BZ,NLD
"Optimizing Food Assistance Programs, Processes and Products for Nutrition (O3P)",7200AA24R00105,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,BUREAU FOR HUMANITARIAN ASSISTANCE,27:29.3,Solicitation,12/31/2024,,2024-12-16T16:00:00-05:00,541611,N/A,,AX1
"Optimizing Food Assistance Programs, Processes and Products for Nutrition (O3P)",7200AA24R00105,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,BUREAU FOR HUMANITARIAN ASSISTANCE,50:21.0,Solicitation,12/31/2024,,2024-12-16T16:00:00-05:00,541611,N/A,,AX1
"Base Operations Support (BOS) Services U.S. Naval Support Activity (NSA) Souda Bay, Crete Greece",N6247024R0001,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM ATLANTIC,19:17.0,Solicitation,11-07-24,,2024-10-23T14:00:00-04:00,561210,,,GRC
Private Sector Collaboration Pathway (PSCP) Annual Program Statement (APS) - USAID/Egypt Addendum,72026324APS00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/EGYPT,58:48.4,Special Notice,07-01-25,,2025-05-12T23:59:00+03:00,,EG-C,4234122,EGY
Private Sector Collaboration Pathway (PSCP) Annual Program Statement (APS) - USAID/Egypt Addendum,72026324APS00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/EGYPT,57:34.7,Special Notice,5/27/2025,,2025-05-12T23:59:00+03:00,,EG-C,4234122,EGY
Scheduled Elevator Maintenance Services at Chancery,19SN1025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SINGAPORE,28:23.8,Presolicitation,12/31/2024,,,238290,SG-01,258508,SGP
Waste Collection Services,19MX5325Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MEXICO,54:06.0,Presolicitation,12/31/2024,,,562119,MX-CMX,,MEX
Painting Services Blanket Purchase Agreement,19BK8025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SARAJEVO,42:04.2,Presolicitation,12/31/2025,,,238320,,71000,BIH
Health Insurance Services,19BK8025R0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY SARAJEVO,17:57.2,Presolicitation,12/31/2025,,,524114,BA-BIH,71000,BIH
USAID/RDMA Thailand HIV Key Population Civil Society Organization (KP-CSO) Leadership Activity,72048624RFI00002,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/RDMA/THAILAND,50:18.2,Combined Synopsis/Solicitation,12/31/2024,,2024-08-29T15:30:00+07:00,541990,,,THA
"RFI - Ramstein, Germany to Al Udeid, Qatar",HC102124RFI52119,DEPT OF DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),DISA/DITCO EUROPE,10:51.9,Sources Sought,12/31/2024,,2024-10-25T10:00:00+02:00,51711,,,QAT
GUATEMALA - PHOTOCOPIER SERVICES AND EQUIPMENT,19GT5025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S.EMBASSY GUATEMALA CITY,55:37.5,Presolicitation,3/31/2025,,2024-11-25T17:00:00-06:00,532420,,1016,GTM
"US Mission Kampala, Uganda",19AQMM24R0163,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,04:57.0,Solicitation,12-11-24,,2024-11-26T13:00:00-05:00,561612,,,UGA
"FA8604 Storage Aid System, Aviano AB, Italy Buildings 1029 and 933 MMHS",FA860425RB001,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA8604  AFLCMC PZI,30:37.2,Combined Synopsis/Solicitation,05-12-25,SBA,2024-11-12T15:00:00-05:00,333922,,09604-0001,ITA
"Renovation of Building 99 at Pituffik Space Base, Greenland",W912DS25R0002,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SD ENDIST NEW YORK,45:08.3,Presolicitation,11-09-24,,2024-10-25T14:00:00-04:00,236220,,,GRL
